INFO  - 2014-07-22 14:39:36.573; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-07-22 14:39:36.573; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.568; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.574; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-07-22 14:39:36.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.575; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-07-22 14:39:36.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.576; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-07-22 14:39:36.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.578; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.577; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-07-22 14:39:36.581; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.581; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/rome-0.9.jar' to classloader
